Element	MassNumber	N1def	N3def	N5def	N10def	N20def	N40def	N100Ldef	N100def	N100Hdef	N150def	N200def	N300Cdef	N1600def	N1600Cdef
Ni	60	2.24E-04	6.40E-04	1.10E-03	1.57E-03	2.60E-03	3.33E-03	4.19E-04	3.88E-03	7.55E-03	4.21E-03	4.60E-03	4.42E-03	5.67E-03	6.62E-03
Ni	61	3.18E-06	5.36E-06	8.49E-06	9.85E-06	1.39E-05	1.72E-05	1.55E-05	1.93E-05	6.38E-05	2.05E-05	1.64E-05	2.05E-05	1.43E-05	1.54E-05
Ni	62	2.71E-05	4.60E-05	7.99E-05	9.07E-05	1.40E-04	1.54E-04	1.28E-04	1.85E-04	2.41E-03	1.82E-04	1.28E-04	2.61E-04	9.59E-05	1.01E-04
Ni	64	3.58E-09	6.64E-09	1.82E-08	1.94E-08	4.54E-08	2.32E-08	4.94E-14	3.74E-08	9.48E-06	2.39E-08	5.80E-09	1.60E-07	1.72E-11	2.46E-11
Cu	63	2.76E-08	5.24E-08	8.84E-08	1.10E-07	1.67E-07	1.97E-07	9.51E-08	2.32E-07	2.00E-06	2.41E-07	2.05E-07	2.91E-07	1.87E-07	2.21E-07
Cu	65	6.57E-09	1.01E-08	1.52E-08	1.64E-08	2.33E-08	3.17E-08	3.61E-08	3.36E-08	2.34E-07	3.60E-08	2.54E-08	3.36E-08	2.38E-08	2.59E-08
Zn	64	1.01E-07	1.66E-07	2.45E-07	2.80E-07	3.96E-07	5.53E-07	5.37E-07	5.82E-07	5.95E-07	6.47E-07	5.35E-07	5.16E-07	5.59E-07	6.10E-07
Zn	66	1.42E-07	2.18E-07	3.20E-07	3.49E-07	4.74E-07	6.83E-07	8.67E-07	7.10E-07	7.06E-07	7.87E-07	5.84E-07	5.81E-07	5.64E-07	6.10E-07
Zn	67	1.00E-10	1.50E-10	2.18E-10	2.37E-10	3.18E-10	4.60E-10	5.59E-10	4.73E-10	1.10E-09	5.28E-10	3.81E-10	3.91E-10	3.67E-10	3.94E-10
Zn	68	6.79E-11	1.04E-10	1.68E-10	1.86E-10	2.76E-10	3.23E-10	3.30E-10	3.66E-10	9.74E-09	3.69E-10	2.50E-10	5.15E-10	2.22E-10	2.34E-10
Zn	70	3.06E-16	5.32E-16	1.39E-15	1.46E-15	3.46E-15	1.29E-15	2.71E-25	2.12E-15	2.11E-12	1.15E-15	1.69E-16	1.37E-14	6.93E-22	1.17E-21
Ga	69	3.80E-14	7.16E-14	1.57E-13	1.75E-13	3.11E-13	2.53E-13	4.89E-15	3.72E-13	9.94E-12	3.09E-13	1.34E-13	7.92E-13	8.76E-15	1.08E-14
Ga	71	4.97E-16	8.05E-16	1.63E-15	1.78E-15	3.16E-15	2.43E-15	9.28E-16	3.31E-15	3.24E-13	2.73E-15	1.23E-15	8.67E-15	6.37E-16	6.69E-16
Ge	70	3.10E-14	6.53E-14	1.25E-13	1.54E-13	2.43E-13	2.51E-13	1.08E-15	3.29E-13	2.78E-12	3.21E-13	2.21E-13	4.94E-13	1.03E-13	1.33E-13
